"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"RANBP10",0.000584373613611909,-0.511473261619027,0.891,0.917,1,-0.026
"TNK2",0.00058833970385354,-1.73964920831923,0.362,0.496,1,-0.134
"SPANXN4",0.000594917763391409,0.549866750333397,0.536,0.39,1,0.146
"ADCK1",0.000601417451350162,-0.271703029420593,0.949,0.944,1,0.005
"SEC14L5",0.000608032704337306,-0.257796704476728,0.746,0.845,1,-0.099
"CCM2",0.000608441346601218,-0.688585905918384,0.899,0.915,1,-0.016
"FAM107A",0.00060937526192979,-0.33182695338616,0.674,0.729,1,-0.0549999999999999
"DLG1",0.000610517287329063,-0.540806744965217,0.986,0.995,1,-0.00900000000000001
"LNPEP",0.000620287924606738,-0.478512413944291,0.928,0.953,1,-0.0249999999999999
"NASP",0.000629070661498504,-0.650545188381083,0.841,0.873,1,-0.032
"EFCAB8",0.000645344751766037,-0.295375310608391,0.935,0.936,1,-0.001
"KCNQ1",0.000648093144917594,-0.271433425860541,0.942,0.955,1,-0.013
"NUP210",0.000648692324792827,-0.83806727297725,0.826,0.834,1,-0.00800000000000001
"ASIC4",0.000655363848688864,-0.903566328653339,0.203,0.339,1,-0.136
"GPR26",0.000656338578737362,-0.701544479338372,0.442,0.578,1,-0.136
"DNAJC7",0.000659237865874269,-1.03239742568297,0.768,0.85,1,-0.082
"THRAP3",0.000671150576945616,-0.554666969178167,0.935,0.952,1,-0.0169999999999999
"ISLR2",0.000674643003140721,-0.666139327360444,0.529,0.632,1,-0.103
"NCSTN",0.000676680762920681,-1.65270259550828,0.37,0.497,1,-0.127
"PRSS23",0.000681726625673223,-0.371598329887002,0.964,0.953,1,0.011
"SSU72",0.000682918556001644,-1.80519592276904,0.493,0.6,1,-0.107
"USP36",0.000687192745052571,-0.286817143059049,0.754,0.791,1,-0.037
"OXA1L",0.00069060667109794,-2.65517315740443,0.196,0.314,1,-0.118
"EGLN3",0.000697052388649554,-0.250824693125276,1,0.995,1,0.005
"NPM2",0.000703967879203504,-1.05966176552133,0.304,0.422,1,-0.118
"GRIK4",0.000705687603109825,-0.33348554077456,0.971,0.993,1,-0.022
"TALDO1",0.000706175399164312,-2.35578885675788,0.478,0.578,1,-0.1
"DPYD",0.000708965383399185,-0.317145977701948,1,0.997,1,0.003
"ZNF438",0.000758418630965095,-0.294561416963421,0.971,0.986,1,-0.015
"ENOX1",0.000764548215229067,-0.400837797456094,1,0.998,1,0.002
"HM13",0.000765172799682151,-1.17054132163922,0.812,0.848,1,-0.0359999999999999
"SLC45A4",0.000779375063543927,-0.278670443155683,0.725,0.763,1,-0.038
"PREX1",0.00078672329575682,-0.372321955548805,0.891,0.945,1,-0.0539999999999999
"POC1A",0.000790522329653896,-0.938848623193021,0.754,0.801,1,-0.047
"CDK5RAP2",0.000799354946387283,-0.29475134658829,0.964,0.985,1,-0.021
"PPP1R7",0.00080727181708348,-1.38958292713427,0.601,0.68,1,-0.0790000000000001
"LMNA",0.000810543982884013,-1.21113969209278,0.63,0.678,1,-0.048
"NMT2",0.00082465186871197,-0.908356367333882,0.768,0.786,1,-0.018
"DYNC1I2",0.000825555400896476,-0.999460780736461,0.906,0.924,1,-0.018
"BAIAP2L1",0.000832177197822769,-0.388811343038422,0.949,0.949,1,0
"USP47",0.000835550430127258,-0.925361628728968,0.949,0.965,1,-0.016
"HIP1",0.000838942069191612,-0.328375269171622,0.986,0.99,1,-0.004
"MVB12B",0.000875848919830396,-0.413897122800809,0.957,0.948,1,0.00900000000000001
"SLC25A48",0.000877475022980262,-0.411433111283673,0.971,0.972,1,-0.001
"RYBP",0.000888541301960524,-0.459337368387496,0.942,0.924,1,0.0179999999999999
"RIN3",0.00089649627238013,-0.416387902250032,0.942,0.955,1,-0.013
"CYTH3",0.000900728188483934,0.565542188720415,0.971,0.972,1,-0.001
"TJP1",0.000901551938334197,-0.432059938938549,1,0.994,1,0.006
"NLGN4Y",0.000920168544637762,-1.57486300616271,0.348,0.462,1,-0.114
"PRKACB",0.000928738849382666,-0.852316051426977,0.986,0.969,1,0.017
"NDUFA10",0.000932612499719424,-1.13188675532236,0.891,0.913,1,-0.022
"CD22",0.000932616199723989,-0.668163175469394,0.652,0.751,1,-0.099
"MTA3",0.000933000348170413,-0.268752520802122,0.993,0.994,1,-0.001
"ZSWIM6",0.000933721899057873,-0.326733248764403,1,0.989,1,0.011
"GPR78",0.00093742707310035,-0.762604321564765,0.543,0.612,1,-0.069
"PRR5L",0.000948016097252438,-0.315139381953763,0.949,0.966,1,-0.017
"MYRIP",0.000950825458490394,-0.296695790621245,1,0.994,1,0.006
"RAB11FIP5",0.000955524993977088,-0.603252085608291,0.862,0.882,1,-0.02
"NPRL3",0.000978368062132454,-0.914392699023816,0.71,0.801,1,-0.0910000000000001
"EFHD1",0.000982856529882664,-0.340435929280903,0.833,0.891,1,-0.058
"C21orf58",0.000988732293369261,-1.37099575785659,0.384,0.496,1,-0.112
"COL5A1",0.000995319721190744,-0.906189869186608,0.862,0.86,1,0.002
"CORO2B",0.00100086560259759,-0.516324828426806,0.913,0.924,1,-0.011
"NRDE2",0.00101013455561219,-0.561066160672587,0.833,0.861,1,-0.028
"GFRA2",0.00101223756759444,-0.657573504226352,0.884,0.882,1,0.002
"ZNF570",0.0010161545353448,-0.764010633159901,0.565,0.695,1,-0.13
"GRM4",0.00102043161774892,-0.874142461140159,0.754,0.811,1,-0.057
"U2AF1",0.00103861373168975,1.06452974994316,0.181,0.096,1,0.085
"UBAC1",0.00104700460880288,0.777620987664377,0.428,0.569,1,-0.141
"TBC1D22A",0.00107087589336676,-0.416070825063779,1,0.991,1,0.00900000000000001
"MCCC2",0.00107308464398712,-0.537300212366426,0.913,0.938,1,-0.0249999999999999
"MYT1",0.0010798412188246,-0.6339507787835,0.746,0.821,1,-0.075
"DOT1L",0.00109236449039109,-0.464793411466188,0.507,0.601,1,-0.094
"TTC30B",0.0011001811378175,-1.20432235236063,0.058,0.159,1,-0.101
"GAK",0.00111539778535062,-0.744931993644364,0.659,0.72,1,-0.0609999999999999
"TMED8",0.00111958641317933,-0.271126409599978,0.826,0.853,1,-0.027
"TACC2",0.00112372390052253,-0.391126168299758,1,0.984,1,0.016
"SLC22A15",0.00114003194460661,-0.806097763182079,0.971,0.95,1,0.021
"TPST2",0.00115932480147919,-0.627254532935508,0.87,0.901,1,-0.031
"GAS7",0.00119078784860966,-0.547819568070102,0.993,0.989,1,0.004
"PCCB",0.00120037817577844,-0.424850427613996,0.957,0.959,1,-0.002
"CDC42BPA",0.0012069729207839,-0.356531476390431,1,0.995,1,0.005
"OSBP2",0.00122101293377879,-0.449700351859199,0.993,0.988,1,0.005
"TP73",0.00122206736688571,-1.16645496716523,0.406,0.518,1,-0.112
"DIP2A",0.00122497388307164,-0.699620048162309,0.978,0.943,1,0.035
"PLCH2",0.00122503494575202,-1.74850451938183,0.348,0.453,1,-0.105
"TMCC1",0.00124593375260872,-0.362932254732675,0.978,0.994,1,-0.016
"ZKSCAN1",0.0012496940269096,-1.41330615896327,0.732,0.808,1,-0.0760000000000001
"BAZ2B",0.0012599233591954,-0.436427656537603,0.993,0.994,1,-0.001
"CCDC200",0.00126005257313429,-0.710255685946241,0.384,0.503,1,-0.119
"CHST8",0.00126926798540596,-0.522748163634266,0.935,0.936,1,-0.001
"CALCRL",0.00127192435147484,2.12066911519118,0.493,0.371,1,0.122
"ATG4B",0.00127261999194128,-0.90787814556787,0.522,0.599,1,-0.077
"HK1",0.00127578409437413,-0.52657463784167,0.957,0.958,1,-0.001
"NUP98",0.00127823674131195,-0.52777362900115,0.986,0.985,1,0.001
"RANBP3",0.00128875118435703,-0.882165808295209,0.645,0.712,1,-0.067
"POFUT1",0.00131378803145196,-0.704051766144584,0.667,0.705,1,-0.0379999999999999
"LHFPL2",0.00131666709477066,-0.353844180513813,0.993,0.989,1,0.004
"L3MBTL1",0.00136343902182236,-0.67612794494525,0.848,0.866,1,-0.018
"ARRDC3",0.0013671434983374,-1.14474594405022,0.304,0.426,1,-0.122
"RPRD1B",0.00137045609273369,-0.474148127109724,0.942,0.956,1,-0.014
"RBBP4",0.00137225574686496,-0.71049197048655,0.87,0.885,1,-0.015
"DAGLB",0.00137825921764916,-1.1358402541928,0.703,0.736,1,-0.033
"ELN",0.00139359382256134,0.359741662295375,0.558,0.621,1,-0.063
"CSDC2",0.00139513769619818,-2.19741219004883,0.239,0.37,1,-0.131
"DEDD2",0.00140054018354413,-0.908448973363182,0.377,0.493,1,-0.116
"RNPC3",0.00140628514801956,-1.55931858581372,0.667,0.735,1,-0.068
"IGSF21",0.00140928246331461,-0.37594555132357,0.978,0.973,1,0.005
"RPS29",0.00141034991411202,-1.19462407640131,0.754,0.8,1,-0.046
"LIMCH1",0.00141546192311102,-0.496806269382625,1,0.996,1,0.004
"CDH23",0.00142171511302172,-0.334464320327397,0.986,0.972,1,0.014
"IDH2",0.00142786786035105,0.539844606283396,0.37,0.492,1,-0.122
"JPH3",0.00143016622186717,-1.00542931895882,0.645,0.714,1,-0.069
"ASS1",0.00143851388872712,-0.951483647822024,0.486,0.589,1,-0.103
"TEP1",0.00144859239962869,-0.871545854283031,0.761,0.794,1,-0.033
"USP19",0.00146687559414544,-1.64564419510343,0.13,0.251,1,-0.121
"CTTN",0.00148566156724812,-1.50158301371673,0.572,0.662,1,-0.0900000000000001
"KCP",0.00149241379715105,1.03555452433165,0.37,0.504,1,-0.134
"NPC1L1",0.00151089787191572,-0.720060006757959,0.551,0.636,1,-0.085
"PI16",0.00151169941302739,-0.801098835078525,0.362,0.478,1,-0.116
"TTLL7",0.00153223250069832,-0.692761955875321,0.986,0.98,1,0.006
"MTRNR2L1",0.00154272081413424,0.251212870373351,0.478,0.338,1,0.14
"PRKCA",0.00154825642171105,-0.263493507521737,1,0.996,1,0.004
"NLGN2",0.00155682083887637,-0.456297982684874,0.109,0.216,1,-0.107
"ARIH2",0.00157020268129474,-0.64149915180669,0.913,0.932,1,-0.019
"CFHR3",0.00158144668839562,0.615692526568064,0.601,0.474,1,0.127
"MAD1L1",0.00158798808161936,-0.493840907370547,0.957,0.966,1,-0.00900000000000001
"GMFG",0.00160290115087649,-1.11025104379138,0.333,0.476,1,-0.143
"TBX22",0.00166414776925971,0.600853534785061,0.558,0.432,1,0.126
"ALCAM",0.00168485394725502,-0.438941211296038,1,0.981,1,0.019
"PCDH1",0.00168641093837804,-1.29915792494764,0.268,0.392,1,-0.124
"ADCY5",0.00170928183859547,-0.464820676192716,0.884,0.911,1,-0.027
"THAP4",0.00171958907019247,-0.90662074990464,0.761,0.76,1,0.001
"TBC1D2",0.00174060294807616,-1.08569311501709,0.725,0.79,1,-0.0650000000000001
"UTP15",0.00174147510505558,-0.933849723960263,0.529,0.62,1,-0.091
