"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ILF3",0.00399059216839513,-0.271043356270677,0.792,0.748,1
"CYP4V2",0.00399355427385421,0.915354775110203,0.594,0.534,1
"SELENOH",0.00402586511035188,0.356263721343011,0.125,0.092,1
"RNF4",0.00403151453035008,-0.325882130604742,0.904,0.895,1
"PI3",0.00403390364307631,0.303602821207505,0.168,0.13,1
"SEC11A",0.00405284624593884,-0.265092098061464,0.916,0.892,1
"GINM1",0.00407198166316312,-0.283734348061344,0.55,0.491,1
"PGRMC2",0.00407298961549766,-0.662636805204351,0.662,0.602,1
"OR1N2",0.00410729142535114,0.384043778815948,0.199,0.157,1
"MS4A7",0.00410827615541465,-0.531674889329422,0.36,0.298,1
"SSB",0.00410884681220574,-0.540626208994436,0.685,0.627,1
"ALG2",0.00411078228456488,-0.43222593825753,0.258,0.211,1
"UCHL3",0.00412660298009468,1.34929946427862,0.133,0.099,1
"POU3F4",0.00414230484130422,-0.358118801371681,0.131,0.098,1
"ERV3-1",0.00417987414417111,1.5357517259942,0.321,0.267,1
"RNF14",0.00418412270562021,-0.90520367343632,0.55,0.489,1
"FAM241B",0.00419439812739527,-1.10125550511314,0.154,0.117,1
"UBAP1L",0.00420376585713921,-0.303193232668015,0.668,0.616,1
"PTRHD1",0.00420438724399151,0.309605029387678,0.197,0.158,1
"CCNL2",0.00420524163352381,-0.81630596295871,0.512,0.433,1
"UBE2D1",0.00420735029026456,-0.254194272902151,0.813,0.76,1
"DEFB132",0.00423332016680241,0.251736876495134,0.211,0.171,1
"TATDN2",0.00423457034393599,-1.66473679767233,0.154,0.117,1
"PHC1",0.00424480731954352,0.276516844211864,0.718,0.673,1
"LYRM7",0.00424621664546877,0.388845608608907,0.847,0.821,1
"HOXC12",0.00424872329774916,0.265163925270249,0.13,0.097,1
"PAQR8",0.00424966173255892,0.504204830055833,0.483,0.419,1
"TMEM50B",0.00425469933619523,-0.899691149810846,0.465,0.396,1
"RANBP3L",0.00425532818472276,0.296232820776777,0.88,0.861,1
"ABHD10",0.00427090652070649,-0.668302145772604,0.504,0.443,1
"TEX30",0.00427397078781432,-0.364381168470721,0.312,0.256,1
"UGT1A7",0.00427856314641537,0.596551550182475,0.26,0.208,1
"SNU13",0.00429393646386718,-0.889189556407073,0.643,0.563,1
"SYF2",0.00429527077266542,0.586575134704834,0.525,0.458,1
"KBTBD2",0.00430670851114057,-0.441311998219678,0.747,0.69,1
"AFMID",0.00439012161593941,-0.537398160741162,0.706,0.62,1
"HLA-DQA1",0.00439714236589677,0.43839654339639,0.656,0.583,1
"KLHL41",0.00440944063348102,-0.307529794592311,0.191,0.149,1
"ZNF23",0.00444548232985431,-0.379788811733778,0.27,0.218,1
"MRPS33",0.00445387170925851,-0.400858059124392,0.635,0.574,1
"OSTC",0.00446673729335428,-0.651217766773712,0.711,0.644,1
"GPSM2",0.00446907713228721,-1.24822381817849,0.527,0.456,1
"NDUFAB1",0.00448043861584886,-0.26384088303102,0.59,0.53,1
"DEFB4B",0.00449211042944354,0.304263307262827,0.134,0.101,1
"BABAM1",0.00451237947362661,-0.915513084771468,0.166,0.128,1
"EIF2A",0.00452366105611381,1.28427076013279,0.34,0.287,1
"ATP5ME",0.00453750471341702,-0.262231288991525,0.293,0.332,1
"MAPK9",0.00454281932824015,0.267704963804555,0.883,0.866,1
"KRT4",0.00454558025262054,0.692734631151782,0.369,0.313,1
"STOM",0.0046016377874903,0.297731914735921,0.766,0.712,1
"CCR5",0.00461759194975167,0.390561704417108,0.267,0.219,1
"ARHGEF10",0.00462202625476806,-0.811129217493097,0.341,0.281,1
"PKD1P1",0.00463303136045286,0.352336976005305,0.148,0.111,1
"METTL5",0.0046428466883514,0.378223246321874,0.573,0.504,1
"SLC35E2A",0.00466131030193751,-0.805546575631685,0.357,0.293,1
"RPL22L1",0.00467075227928681,-0.380711622864476,0.328,0.271,1
"SCHIP1",0.00467645985206245,-0.525810642434885,0.372,0.31,1
"PNRC2",0.00470322448856021,0.775084891868747,0.34,0.288,1
"CCDC174",0.00473145765730762,0.296576322575768,0.669,0.61,1
"SIGMAR1",0.0047496282616791,-1.84502754306987,0.14,0.106,1
"IDNK",0.00479015913401249,-0.26578740638597,0.661,0.599,1
"DPH7",0.00479869816191465,-0.310028045885467,0.549,0.493,1
"ZNF223",0.00482208985898623,-0.47036585400076,0.182,0.141,1
"SPX",0.00482773113527217,0.626527801313883,0.525,0.469,1
"GOLGA8N",0.00482868880389478,0.927466598778918,0.148,0.114,1
"CTSG",0.00484535321023122,1.08617795012897,0.153,0.116,1
"SHISAL2A",0.00486260076913866,0.315200916047251,0.825,0.799,1
"CD1A",0.00486992794932842,0.619384002196741,0.361,0.302,1
"TATDN3",0.00489498417389687,0.283111249692007,0.803,0.75,1
"OR6Q1",0.00489787251436062,0.405994739875362,0.127,0.095,1
"MEIS2",0.00492774427356089,0.256759339741631,0.985,0.985,1
"BZW1",0.00493317676490617,-0.805901352237327,0.595,0.54,1
"TMEM218",0.00498402507199497,0.911457720882165,0.556,0.492,1
"ZNF713",0.00498421887088768,-0.35218827540979,0.441,0.376,1
