"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"CHD3",5.30113304409352e-13,1.0467023434638,0.61,0.498,1.04978337672184e-08,0.112
"SLC12A4",5.34153232289956e-13,0.623709729999002,0.489,0.36,1.0577836459038e-08,0.129
"HMGA1",5.46427800790832e-13,1.32111707868701,0.266,0.161,1.08209097390608e-08,0.105
"AKT2",5.69269492548593e-13,0.612682102007595,0.769,0.668,1.12732437609398e-08,0.101
"DUSP5",6.18797789437034e-13,0.750833540579655,0.482,0.353,1.22540526242216e-08,0.129
"TMEM132E",6.29718337705961e-13,0.669206445596119,0.744,0.65,1.24703122415911e-08,0.094
"HYAL3",6.54620399772057e-13,0.667857169234802,0.145,0.07,1.2963447776686e-08,0.075
"DENND3",6.69817583639304e-13,0.515287500811877,0.832,0.769,1.32643976088091e-08,0.063
"HAUS7",6.84249457202809e-13,0.571402954232129,0.289,0.182,1.35501920009872e-08,0.107
"NBEAL2",6.91962238713959e-13,0.605374334669106,0.418,0.299,1.37029282132525e-08,0.119
"CHST1",7.13849077002012e-13,0.757269711404208,0.38,0.259,1.41363532718708e-08,0.121
"DRP2",7.16410125630439e-13,0.546065262270998,0.801,0.694,1.41870697178596e-08,0.107
"UROC1",7.19182523483594e-13,0.523131194795103,0.539,0.421,1.42419715125456e-08,0.118
"TMEM105",7.22259106746903e-13,0.936953366957725,0.376,0.259,1.43028970909089e-08,0.117
"MYLPF",7.24661434860018e-13,0.841694483743294,0.293,0.185,1.43504703945329e-08,0.108
"TARBP2",8.4146021154403e-13,1.5391495699507,0.198,0.108,1.66634365692064e-08,0.09
"TMEM132A",8.74242200242069e-13,0.520151381547989,0.294,0.187,1.73126182913937e-08,0.107
"TBKBP1",9.05342616885179e-13,1.13987961177712,0.373,0.254,1.79284998421772e-08,0.119
"BCAP31",9.54307086977255e-13,0.80188437327849,0.512,0.388,1.88981432434106e-08,0.124
"SLC11A1",9.54764443277638e-13,0.820606126376405,0.386,0.267,1.89072002702271e-08,0.119
"PLCB2",9.64268863870151e-13,0.514521264165583,0.495,0.367,1.90954163112206e-08,0.128
"TRPM5",9.72917624867307e-13,1.00530690918844,0.255,0.157,1.92666877252473e-08,0.098
"RET",9.74220309032199e-13,1.29051445173013,0.637,0.537,1.92924847797646e-08,0.1
"PLA2G4F",9.77611244383033e-13,0.658368151375683,0.415,0.299,1.93596354725172e-08,0.116
"PCSK9",9.936438188187e-13,1.09096549080607,0.502,0.384,1.96771285440667e-08,0.118
"CCDC9B",1.01077629722314e-12,0.780288734306382,0.28,0.176,2.00164030139099e-08,0.104
"TIMM44",1.03287124203995e-12,0.536008797730056,0.461,0.327,2.04539492061172e-08,0.134
"IL17REL",1.07709612182513e-12,0.812565644538924,0.412,0.296,2.13297345005031e-08,0.116
"SPTBN2",1.27115680449997e-12,0.531243977410462,0.666,0.563,2.5172718199513e-08,0.103
